# FF7 English vs German String Comparison
# Generated: 2026-01-03 13:22:02 JST
#
# Format: [INDEX] EN_TEXT | DE_TEXT
# ====================================================================================================

[635] Want to format it now[1F] | [02]   [02]   [A0][0F]  [B8][0B]  [B8][0B]  x[1B]  l[1D]  [88][13]  [F4][01]  l[1D]  [02]   `[1F]  
[636] No save data file[0E] | `[1F]  `[1F]  [02]   l[1D]  [88][13]  [02]   HC  [02]   [E0]N  [10]G  [02]   [02]   
[637] No save data file[0E] | 
[638] This Memory card is damaged and cannot be used[0E] | 
[639] Please insert another Memory card[0E] | 
[640] Not enough space left on save data file[0E] | 
[641] Use another save data file[0C] | 
[642] or erase [11] block of saved data[0E] | 
[643] Couldn[07]t read it[0E] | [01]   [01]   [01]   [01]   [B0][04]  [E8][03]  [10]G  [10]G  [01]   [10]G  [10]G  [01]   
[644] Still want to begin the game[1F] | [01]   
[645] Can not allocate save file memory buffer[01] | 
[646] Invalid save file[01] | 
[647] Save [11]    | 
[648] Save [12]    | [9A][01]S   S [80][02]S 
[649] 3AVE [13]    |   ^ [C6][01][CF]   -[01]
[650] 3AVE [14]    | [80][02][B2]         
[651] 3AVE [15]    |   f [80][02]3 [B8][01]^ 
[652] 3AVE [16]    | [C8] [CF] [ED] / [7F] x 
[653] 3AVE [17]    |   3 [80][02][AD][01][EE] [8C][01]
[654] 3AVE [18]    | [DA] T G[01]] [A0] V 
[655] 3AVE [19]    |   3 [80][02]^   [91] 
[656] 3AVE [11][10] | [80][02]3   [BD] [83][01]#[01]
[657] ,EVEL |   [1A] @[01]/ 
[658] 00'00"000        |  [87],$[EB][F7][0D][9C][B8][B3][FE]
[659] --'--"---        | [80][D9][82][BF][01];[C5][9C]hI#  u[12][81]
[660] COURSE A RECORD  | 
[661] 00'00"000        | [0A][11]X[C7]D$[0C]h [02] [89]t$[08][BE]
[662] --'--"---        | (([F8] [89]l$[04][89]t$[10]3[F6][C1][E9]
[663] BEST     | [EB][F5][9D]
[664] CONTINUE     | [BF]`[01][FC][AA][0F][A3][D8][81][04]$I
[665] RETRY    |    [87]4$[EB] 
[666] EXIT     | V[87]t$[04]#[F6][81]
[667] OPTION   | ,$F   S[8B]
[668] CONTINUE     | \$[04][90][87][1C]$[87]<$[8D]6
[669] RETRY    | [8B]?[83][EF]'[87]<$
[670] EXIT     | [90][C7]D$[04][C2][04] 
[671] GHOST    | [AE][EB][FA][9D]O[85][C0][8B]
[672] SURFACE  | [0C]$[8D]d$[04][9C]h
[673] OFF  | [BD][0C]  
[674] BOARD    | v[11][81][04]$I8[B7]
[675] SLEIGH   |  [90][81][04]$[C3][E7]@
[676] ? ? ?    |  [EB][FA][83][EC][14][C7]D
[677] SNOW     | $[10][D1]7[BA]![C7]D
[678] CHECKED  | $[0C][7F] [01] [89]|
[679] TRY AGAIN    | $[08][BF]$,[F8] [C1]L$[10][10]
[680] EXIT     | [89]D$[04][8B][07][01]D
[681] TECHNIQUE    | $[0C][90]u[EF][80]d$[10][FE][90][81]
[682] TIME     | |$[10][E2][03]  v
[683] BALLOON  | [09][BC]    V^
[684] TOTAL    | 
[685] BEST     | D$[04][83][C4][14][81][04]
[686] /30 PTS.     | $[06]![F8]z[90][81][04]$[C2][04] 
[687] OSP[20]ptsN     | [86]
[688] OTP[20]ptsN     | [C7]dD[1C][DF][E0][95][09][C7]dD[18]
[689] OC[20]ptsN  |  [01] [89]|D[14]
[690] OC[20]ptsN  | [BB][98]L[F8] [C1]lD
[691] QstN     | D[10][8B]K[01]D[1C]
[692] RndN     | [90][83][C3][04]
[693] SrdN     | [18][EF][80]D[1C][FE]
[694] TthN     | [81][7C]D[1C][EC]   
[695] UthN     | [06][90]P   [90]
[696] TEIOH | w[8B][D2][81][04]D[C2] 
[697] Sprint Shoes | [FA][08][C1][E8] [81][04]D[C2][04] [F8]
[698] Counter | D[04][9D][EB][F5][C0]u[9D][F7]e[10][FD]
[699] Magic Counter | [9C][83][EC]D[C7]dD[20]P[B6]L[16][C7]dD[1C]
[700] Precious Watch | s   [89]lD[18][B9][F4][87][FA] [C1]lD
[701] Ether | [20] [89]D[14][90][8B]I[01]D[20][83][C1][04]
[702] Hero Drink | 
[703] Bolt Plume | [01][05][B9][BE][07]  S[C0][90][02][0F][A5][9D]
[704] Elixir | x[80]lD[20][01][8B]lDD[8B]D[20][0F][A4]
[705] Fire Fang | [F1] [89]lD[20][90][8B]lD[18][89]DD[8B]
[706] Antarctic Wind | D[14][90][83][C4][20][0F][AC][C5] [9D][C1][E6] 
[707] Potion | [15][81][04]D[8D][DB] [90][81][04]D[C3][F7][1E] 
[708] Phoenix Down | [C1][E1] [EB][F7][[81][04]D[8D][FA][B9][C1][E2] 
[709] Hyper | [81][04]D[C2][04] g
[710] Tranquilizer | [9D][[FB][9C][9C][83][EC][14][C7]dD[10][C7]u
[711] Cat[07]s Bell | [C7]dD[0C]   [89]lD[08][B9][B0][88][FA]
[712] Enemy | 
[713] Sneak | D[10][83][C1][04]f[FF]lD[0C][C1][FD]
[714] Chocobracelet[FF][FF][FF] | lD[10][01][C1][E3]
[715] Swift | [90][89]lD[10][90][8B]lD[08][89]tD[14][8B]t
[716] Fire | D[04][83][C4][10][9D][90]t[19][81][04]D{z[FA][E0]
[717] Megalixir[FF][FF][FF][FF][FF][FF][FF] | [C1][E0]
[718] Turbo | [9C]K[81][04]D[81]w[FA]T[0F][AC][ED]
[719] Hi[0D]Potion[FF][FF][FF][FF][FF][FF][FF] | [81][04]D[C2][04]
[720] Ice | [9D][83][FF][FF][9C][9C][83][EC] [C7]dD[1C]al[
[721] SAM | [81][04]D[C2]
[722] ELEN | [EB][FA][D2][83][EC] [C7]
[723] BLUES | dD[1C]Zmv[FE]
[724] TOM | [C7]dD[18]y
[725] JOHN | 
[726] GARY | [8A][FA]
[727] MIKE | [18][89]lD[10][90][8B]
[728] SANDY | [08][01]lD[1C][C1][E3]
[729] JU | 
[730] LY | D[18]u[EC][90][80]d
[731] JOEL | D[1C][FE][8B][DB][81]t
[732] GREY | D[1C]P[1B][03]
[733] EDWARD | [81]|D[1C][B0][10][03]
[734] JAMES | 
[735] HARVEY | [E5]}[C3][90][8B]dD
[736] DAN | [14][90][8B]lD[10][83]
[737] RUDY | [C4] [81][04]Dov
[738] GRAHAM | [FA]I[90][81][04]D[C2]
[739] FOX | [04]
[740] CLIVE | [9D][EB][F5]z[0C][9D][8D]
[741] SEAN | dD[FC][89]TD[E8]
[742] YOUNG | [08]
[743] ROBIN | [BF]`[01]W[91][81][04]
[744] DARIO | Dc
[745] K | dD[04][90][87][04]D
[746] ARL | [81]LDa
[747] SARA | w[8B]|D[04][87]\
[748] MARIE | D[87]TD[8B]V[83]
[749] SAMMY | [EE]b[87]TD[C7]d
[750] LIA | D[04][C2][04]
[751] KNIGHT | [C1][80][0F][07]
[752] PAULA | [19][85][C0][8B][0C]D[8D]
[753] PAU | dD[04][9C]h[F8][1B]
[754] LE | 
[755] PETER | [F8]n[FA][C3][EB]
[756] AIMEE | [A4][DB]
[757] TERRY | 
